,country,description,total_model_predict
1386,US,"Briny, with a taste of salted kettle corn, this offers a nice balance between an edgier, more savory character and the fine-tuned minerality that extends into the finish as bristles of Meyer lemon and wet stone. The aromatics reveal an inviting touch of orange peel and lemon custard.",US
1387,US,"The largest production offering of this variety for this producer, this features fruit sourced from a who's who of local growers, including Sangiacomo, Dutton and Martinelli, in addition to the estate-run Wildcat Mountain Vineyard. The result is satisfyingly impressive in viscous oak, graham cracker and Meyer lemon. Tangy and flinty on the finish, it's smooth and focused.",US
1388,US,"A light golden hue, this richly aromatic wine offers notes of toasty barrel spices, apricot and dried mango. It's full bodied, almost unctuous in feel, with abundant, sweet stone-fruit flavors and a lingering finish.",France
1389,US,"Though quite light in color, this is a very ripe-smelling wine, with aromas of honeysuckle, peach, pineapple and guava. It proves light on the sleek palate, with subtle tropicality emerging via tuberose flower flavors that are cut with a green apple skin bitterness.",US
1390,US,"Soft layers of faint lemon, fig and yellow apple stand out in this pretty, straightforward and slightly tart white, the whole of the palate lingering in long-lasting minerality. A versatile food wine, it offers a lot of elegance.",US
1391,US,"Sta. Rita Hills stars Greg Brewer and Steve Clifton deliver a golden-hued sparkler with aromas of yellow flowers, fresh picked pears and pressed apples. It explodes on the palate with lemon zest followed by a cooked apple soda, with a touch of tannic tartness on the end.",US
1392,US,"Intoxicating in vanilla and peach, the aromas telegraphing honeysuckle and anise, this balanced, dry vintage Brut from 100% Chardonnay grapes is soft, food-friendly and easy to drink.",US
1393,US,"Simple, direct flavors of pineapple and orange jam, vanilla bean and buttered popcorn mark this Chardonnay. It has just enough acidity to keep things balanced.",US
1394,US,"Soft and rich with pineapple, lemon candy and oak flavors, this simple Chardonnay has the benefit of acidity for balance. It's a nice, basic Chard at an everyday price.",US
1395,US,"Aromas of lychee, wet slate and just-cut kiwi combine for a tightly wound nose on this wine from one of the region's pioneering properties. The palate clings close to the lime, lemon and pink grapefruit pith flavors that open a little toward apple flesh and a pinch of herbs.",US
1396,US,"This Napa-side-of-Carneros Chardonnay is resplendent in crisp yet hearty aromas of apple, pear and flowery jasmine. Well put-together, it offers electric acidity and enough rounded texture to pair magnificently with food. On the finish is a hint of tarte Tatin, a tiny seasoning of cinnamon and nutmeg on top.",US
1397,US,"Racy acidity and oak-inspired lemon, lime and tropical fruit flavors mark this bone-dry, elegant wine, with a minerally edge. Don't drink it too cold.",US
1398,US,"Notable for a soft, buttery creaminess that makes it feel caressing in the mouth. There's just enough acidity to give a boost to the intense lemondrop candy, pineapple, crème brulée and vanilla flavors. Drink up with roast chicken, grilled salmon or portobello mushroom risotto.",US
1399,US,"It flatters with ripe apricot, orange, lime and papaya flavors, enhanced with oak and brightened with acidity. Bone dry on the finish, it has a firm edge of minerality.",US
1400,US,"This is one of those Chardonnays that's delicious from the first sip. It's not complicated, but is rich in mango, yellow peach and oak-inspired buttered toast, butterscotch, honey and vanilla bean flavors. The grapes are from the Oak Knoll District, and the wine has refreshing acidity.",US
1401,US,"Fragrant in tropical guava and grapefruit, this is a clean, crisp Chardonnay. Layered with acidity and textured enough to go with food, it's a good wine to serve on occasions big and small.",US
1402,US,"Named after the matriarch of the Riboli wine family, who founded what may be the first tasting room in California, this shows light yellow fruits on the nose. The palate combines lemon and apple with a slight hue of brown spice, offering plump fruit with a tang.",US
1403,US,"The chef returns to wine in this blend of mostly Chardonnay with 4% Viognier. A smooth, round and ripely agreeable quaff, it's thick in oak with a taste of vanilla.",US
1404,US,"Aromas of freshly cut pear, apple and almond butter mix with assorted spices. The flavors are elegant in style, pulling up toward the finish. It provides easy drinking enjoyment.",US
1405,US,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character.",US
1406,US,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt.",US
1407,US,This wine offers appealing aromatics of caramel apple before delving into viscous territory on the palate. Flavors fall somewhat flat and the finish is muddled.,US
1408,US,This wine offers an aged quality to its accompanying freshness. A taste of honey and dried apple surround soft layers of citrus and a toasted oak finish.,US
1409,US,"Aromatically inviting, with notes of fresh apple, honeydew and white blossoms, this Chardonnay is a bit confected on the palate from candied, overripe flavors of apples and quince. It's a shade off-dry in style with soft, lemony acidity.",US
1410,US,"Simple and soft, this Chard is a juicy, forward blend of pineapple, mango and peach flavors.",US
1411,US,"Aromas of freshly cut pear, apple and almond butter mix with assorted spices. The flavors are elegant in style, pulling up toward the finish. It provides easy drinking enjoyment.",US
1412,US,"Aromas of marmalade, squeezed lime, red apple and apple blossoms hit the nose on this bottling from the Morgan Hill area producer. Ripe with Gala apple and pear flesh, the palate is also cut with lime juice and tangerine skin.",US
1413,US,"Warm vanilla notes are laid across ripe nectarine, apple skin and a twist of lemon rind on this single-vineyard study by the Los Gatos-based winery. Pencil lead kicks off the palate, which then opens into poached apples and lemon oil, laid across a sizzling acidity that lasts long.",US
1414,US,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish.",US
1415,US,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character.",US
1416,US,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt.",US
1417,US,"Prominent yet not overpowering oak smoke aromas lead the nose, with buttermilk, wet wool and chopped green herb elements as well. It's salty on the palate, with cooked apples and dried pineapple flavors, proving a nice balance between the familiar buttery and more elegantly restrained styles.",US
1418,US,"Sourced from a single vineyard, this spent 17 months in French oak, 38% new. It's light and spicy, with pleasant fruit flavors of apple and pear.",US
1419,US,"Lots of oaky flavors mark this dry wine. Buttered toast, brown butter and vanilla flavors dominate the underlying peach, pear, citrus and mango flavors.",US
1420,US,"Clean and tart in lemon flavor, it has a bright streak of acidity throughout. Refreshing, it'll work well as an apéritif, a hint of pear lingering on the soft palate and finish.",US
1421,US,"Minerality takes center stage on the nose from Roblar's top-end line of wines, with limestone and wet slate getting boost from fresh squeezed lemon. On the palate, the crushed rock flavors continue with some pear as well, making for a mellow sipping experience. Serve with shellfish, white fish or a soft cheese.",US
1422,US,"This was pressed whole-cluster and fermented in French oak, roughly one-third new. It's a flavorful wine with caramel apple appeal, good definition and medium length. The barrels put a pleasing toasty frame around the finish.",US
1423,US,"This single-vineyard Chardonnay remains detailed and aromatic, though not quite as ripe as one might wish. Scents and flavors of herb, grain and green fruits mix and mingle, with plenty of underlying acidity.",France
1424,US,"Citrus and orange blossom waft from the glass followed by plump minerality, Meyer lemon and crème brûlée, wrapped in restrained oak. Fruit sources range from Carneros to Mount Veeder and Oak Knoll, providing a well-balanced range of flavor and tension.",US
1425,US,"From a warm vintage, this aromatic offering has notes of candy corn, corn silk, pear and tropical fruit. It's full bodied with sweet fruit flavors that have a creamy feel and lead to a lingering finish.",US
1426,US,"This waxy, petrol-infused wine underwent both barrel and stainless-steel fermentation. It's dark in color, exhibiting a majority of barrel-induced flavors like caramel and toast with any hint of fruit remaining elusive.",US
1427,US,"Tight, clean and fresh but reluctant aromas of apple greet the nose on this boxed wine. The palate lacks discernible flavors, with just a touch of steely apple flesh.",US
1428,US,Tart acidity combined with candied flavors of pineapples and butterscotch mark this simple Chardonnay. Finishes a bit sour.,US
1429,US,"There's the slightest touch of oxidation on the nose of this wine, with aromas of roasted walnut and seared lemons. The palate is quite interesting, with lemon oil, hints of toasted nuts and a faint marshmallow element on the finish.",US
1430,US,"Coming in a bottle adorned with an informational treasure map of the region, this wine conveys bubble gum, honeysuckle and Pink Lady apples on the nose. A similar apple character shows on the palate, along with riper grapefruit notes, Anjou pear slices and graphite. The apples get more sour as the sip lingers.",US
1431,US,"Grapefruit, pear and vanilla mark this medium-bodied, moderately dense and youthful wine that also offers peeks of caramel and toffee midpalate. The weight and length give way to a zesty, pithy finish.",US
1432,US,"Friendly and flavorful, this offers bright butter and fruit aromas, opulent pear and baking spice flavors and a lingering, vanilla-like finish. The texture is plush and the balance leans toward ripe and rich.",US
1433,US,"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",US
1434,US,"This wine's nose begins very steely, with fresh cracked chalk aromas, then allows soft caramel candy, pound cake and white flowers to emerge. The very inviting flavors include apple flesh and skins, fresh cut pineapple and slated nuts, all clinging to a very pithy element that cuts the entire palate.",US
1435,US,"Floral, this medium-bodied white is creamy and touched by richer notions of pear, pineapple and vanilla, reflective of its warmer appellation in a warm year. French oak (40% of it new) aged the wine for under a year. With a touch of honeysuckle and nutmeg, the minerality is subtle.",US
1436,US,This attractively priced wine has nice acidity and subtle flavors of pear and lemon. A pronounced swaddling in oak reveals itself on the nose and mid-palate. Enjoy it with food on the richer side.,US
1437,US,"A little oak, brisk acidity and good flavors of lemons, limes and mangoes mark this dry, stylishly creamy wine that's fine for drinking now, at a good price.",US
1438,US,"Fresh, crisp apple and pear are touched with delicate swathes of cream and oyster shell on this elegant, impeccably balanced Chardonnay. The palate is brisk with lemon and lime acidity, but builds in richness and texture on the finish. A remarkable value at $13.",US
1439,US,"A citrus-inflected, vanilla-leaning nuttiness consumes the aromas of this offering, which makes for a very pleasant sipping experience. There is good acidity, with apple, lemon and a bit of tropically, including nicely rounded fruit in the midpalate. A dazzling zest continues to the finish as well.",US
1440,US,"Steel is the medium and the message, meaning it's completely unoaked, with no malolactic fermentation. The flavors are spicy and bright, mixing cucumber, mint and green melon with a dash of white pepper.",US
1441,US,"Light and crisp, it offers layers of lemon chiffon and spicy pear. The at-first luxurious mouthfeel evolves smoothly into crisper, citrus-wrapped acidity. This is a sippable, ideal summer wine.",US
1442,US,"This could be considered a liquid dessert, with a rich gold color, abundant aromas of baked apple and pear tart, and tasty vanilla and marzipan flavors. But with 1% dosage it's not overly sweet, just very lush in texture, concentrated in flavor and long on the finish.",US
1443,US,"Lime and pineapple, peach and crisp acidity mark this as a fresh, go-to style. The label notes it was fermented both in stainless steel and French oak barrels. It's balanced and true to the fruit and the elegant vintage. Just a hint of butterscotch comes through.",US
1444,US,"Let the conversations about minerality begin. Whatever it is, or wherever it comes from, it's here big time, adding a lick of steel and a metallic mouthfeel to the underlying fruit. And what powerful fruit it is, ranging from orange and guava to honeydew and citron. This bone dry, crisp Chardonnay is a game changer that will make you look at California Chardonnay differently.",US
1445,US,"A blend of three estate-farmed vineyards, this is a velvety-smooth expression of the variety. It conveys a touch more richness and concentration than some of the producer's other wines, at least at the beginning of the glass, when almond and hazelnut rule the day. But then it takes on a lightness toward the lengthy finish, ending in a mix of lemon zest and apple.",US
1446,US,"The nose on this appellation blend is full of soft tones of ripe nectarine and pluot, though cut with walnut oil and a citrus edge. It's more pithy in flavor, showing orange bitters, dried apples and more nut oils, slightly oxidative in style.",US
1447,US,"This wine comes from a wide selection of fantastic vineyards, including Pahlmeyer's coastal outpost, Wayfarer, as well as Ritchie Vineyard and a site on Atlas Peak. Dark golden in color, it's luscious in vanilla, ripe apple and Meyer lemon, medium bodied veering into rich. Buoyed by overtones of fresh peach, it's a worthwhile quaffer on its own or at the table.",US
1448,US,"Pure fruit flavors and zesty acidity mark this wine. It's rich and ripe in orange, apricot and papaya flavors, with little or no oak influence.",US
1449,US,"The extreme dryness and minerality at first give this wine a Chablis-like interest. Then you find lemons, limes and apricots, framed in acidity and herbs. Drink up.",US
1450,US,"This young wine is in your face now with strong acidity, powerful oak and jammy apricot, tangerine and green apple fruit. It's all too much of a good thing. It may be showing better by early 2015.",US
1451,US,"This is a big, fruity, oaky Chardonnay. What it lacks in subtlety it makes up for in sheer power. The flavors of apricots, tangerines and limes, with smoky oak influences, are rich and forward.",US
1452,US,"This wine is dry, with a hint of oaky vanilla and buttered toast. Rich orange, peach and honey flavors are brightened by a burst of citrusy acidity.",US
1453,US,"Ripe in tropical fruit, apricot and Meyer lemon flavors, it shows plenty of toasty oak. It's dry and creamy but not particularly complex. Drink up.",US
1454,US,"Scents of blossom and ripe white peach are touched with smoke and earth on this dry, full-bodied Chardonnay. Fermented and aged in stainless steel, the palate is chock full of juicy white grapefruit flavor. A touch of crushed-stone minerality adds elegance. Refreshing yet satisfying, this is a wine with wide appeal.",US
1455,US,"Done entirely in stainless steel, this is young, tight and tart, with fruit flavors of green apple and pineapple. The impression is more of skin and rind than of flesh, but as a set-up to lightly sautéed poultry or fish, it would work nicely.",US
1456,US,"This wine by winemaker Fintan du Fresne shows sea salt, apple blossom, cherimoya and tangerine rinds on the nose. Flavors are clean and pure, with dried apple, more sea salt, a bit of nectarine and orange spritz, offering a profile that could comfortably rest on the tongue all day long.",US
1457,US,"A vivid bouquet of white flowers is cut by a pungent, pithy funkiness of crushed ants and iodine on this classic bottling by the Miller family and winemaker Trey Fletcher. The intriguing palate is tensely layered, with grapefruit pith, lime-sprayed limestone and a bit of almond oil on the finish, proving uniquely spicy and incredibly long-lasting.",France
1458,US,"Appealing aromas of apple, citrus, pear and corn husk are followed by light, elegant fruit flavors and a tart finish. The concentration isn't all there but it retains a sense of balance.",US
1459,US,"Sizzling in high-toned citrus and a helping of freshly squeezed pineapple, this wine combines delicate floral aromas and refreshment with a more weighty complexity of caramelized oak, finding a sense of leanness on the finish.",US
1460,US,"After a poor showing in 2009, Jigar has redeemed itself. Their 2010 Chardonnay is rich and smooth in tropical fruits, cream, buttered toast and cinnamon spices. It's starting to show its age, so drink up.",US
1461,US,"Rich in apricot, orange and tropical fruits, with buttered toast, honey and creamy lees flavors, this Chardonnay leaves nothing to the imagination. It's flashy and forward, yet has enough acid and mineral balance to give it interest.",US
1462,US,"The sourcing on Landmark's Overlook bottling has changed constantly over the years. This 2011 is certainly rich in pineapples, nectarines, tangerines, Meyer lemons and smoky oak. It reflects the popular Chardonnay appetite.",US
1463,US,"Notes of honeysuckle, apple, Meyer lemon and legume dominate the nose, with a tropical fruit aroma arriving late. Medium bodied, the palate showcases zippy acidity that will pair well with chicken scallopini served with white beans and rosemary.",US
1464,US,"This is a lovely bottle from this Idaho producer with notes of hay, butter, spice and melon. It has a broad, creamy feel that lingers on the finish.",US
1465,US,"Brightened with zesty, lime-juice acidity and a cooling minerality, this Chardonnay features ripe, forward tropical fruit, orange and peach flavors, with a touch of buttered toast and vanilla. It's fancy enough to drink now with shellfish, tuna tartare, stuffed mushrooms, tempura, or even an upscale pizza.",US
1466,US,"Sourced from the winery's highest, steepest site, and barrel-fermented with partial malolactic, this is a fine effort in a lighter vintage. Yeasty and creamy in the mouth, it melds a mix of banana, pineapple and coconut cream in a wine with excellent structure and length. The hint of caramel provides a flourish on the finish.",US
1467,US,"This wine gets neutral French oak and it shows in its zesty profile of orange and tangerine over apple and pear. The fruit is hearty and juicy, the texture light and refreshing.",US
1468,US,"This warm-vintage wine strikes a perfect mix of restraint and intensity, with its abundant notes of peach and pear. It's lightly creamy in feel, with deft fruit flavors that show an exquisite sense of balance throughout.",US
1469,US,"Waxy lemon and the crisp bite of an apple open this wine that builds power as it goes, becoming a full-bodied expression of Russian River apple-kissed fruit. Toasty oak and silky tannins buoy the midpalate, ending with a lift of orange citrus.",US
1470,US,"This soft, round and fruity wine is styled for immediate consumption. Light fruit flavors of apple and Asian pear are finished with a lick of lemony acid.",US
1471,US,"Buttered toast, honeysuckle and vanilla flavors dominate. The underlying fruit flavors suggest mangoes, pears and limes. Drink this oaky wine now.",US
1472,US,"Estate-grown fruit is at the center of all the g3 bottlings. Here the flavors blend cilantro, green apple and botanical nuances with softer layers of lemon cream and vanilla. It's a good value and drinking well in a Chardonnay from a cool vintage.",US
1473,US,"Full-bodied and swathed in oak, this shows the bigger side of Chardonnay, piquant and luxe with lemon and grapefruit swirls within larger casings of vanilla and caramelized oak.",US
1474,US,"This full and heady wine offers marshmallow oak around a core of grapefruit and honeyed fruit. With soft acidity, it veers into darker fig and toasted oak characteristics before lifting again towards the finish, which swirls in lemon and grapefruit.",US
1475,US,"This small-production Chardonnay (only 272 cases) is exceptionally rich and ripe, as Williams Selyem Chardonnays consistently are. Intense flavors of tropical fruit and pear pie (with a smoky, buttery crust) make for a powerful palate. The acidity is mouthwatering. This is the ideal wine for cracked crab and a sourdough baguette with butter.",US
1476,US,"This wine is bone dry, yet the fruit is so ripe and rewarding. Flavors of tangerines and apricots are accompanied by a tangy minerality and oak notes attributable to aging in 50% new barrels. So clean and vibrant, it makes for classy drinking now, but it will also be fascinating to watch its evolution over the next 6–8 years.",US
1477,US,"A perennial standout, this is an exuberantly rich, classic expression of the variety, with the heady, unmistakable imprint of the producer and vineyard. Expansive and generous in style, it offers baked honeycrisp apple and a jolt of lemon pith, with aromas of honeysuckle and vanilla. The finish is lengthy and substantial, with memorable minerality.",US
1478,US,"Using fruit mostly from the Bassi Ranch property he recently acquired, Mike Sinor delivers a bright, minerally wine, with aromas of scratched grapefruit skin, orange and peach juice, burned lemons, sea salt, ripe apples and nectarines and fresh-cut herbs. Flavors of salty, lime-juice nectarines emerge once sipped, with hints of butter and white flowers.",US
1479,US,"This wine displays a fascinating aroma profile of lees, lemon and custard. There's a real sense of vibrancy and energy in its creamy texture, with lively acidity drawing out the fruit tones. The balance is spot-on with outrageous length.",US
1480,US,"This is buttery to a fault, with the overpowering aroma of microwave popcorn. Once in the mouth, the simple fruit flavors are buried, and the finish leaves a lightly bitter impression.",US
1481,US,"Soft and lightly buttery, this offers clean fruit flavors of apple and pear. Not quite as concentrated as previous efforts, perhaps a reflection of a cooler vintage in this northern location.",US
1482,US,"An oily, rich and full-figured white from the producer's estate vineyard, this wine offers elements of honey-baked apple and caramel. Well made in a big style, it's listed as 100% from the Dijon clone of Chardonnay.",US
1483,US,"Toast, iodine, steel and kumquat-skin aromas show on this bottling from one of the region's older properties. The palate offers stone fruit ripeness but is driven by a sharp, citrusy acidity of Meyer lemon and Mexican lime.",US
1484,US,"Waxy apple stars in this brisk, approachable white from a single estate-farmed block, the oak briny and salty in toast and honey. Textured and elegantly light bodied, it finishes with a satisfying note of lemon candy.",US
1485,US,"Pear and spice aromas lead to rich pineapple and prickly pear flavors. There's much to love, with unmistakable varietal expression.",US
1486,US,"Honeysuckle and Good & Plenty combine on the entry of this fruity, floral wine, full-bodied and intriguing on the palate in ripe apple and vanilla. A funkiness on the finish gives it an earthy ending.",US
1487,US,"This rich, good Chardonnay is easy to drink. The tropical fruit, apricot and peach flavors are accented with oak, and balanced with acidity.",US
1488,US,"Despite its special designation, this is a dilute wine with thin fruit flavors. The core of green apple is accented with a hint of barrel toast (17 months in French oak, 29% new). The acidity seems muted. Drink up.",US
1489,US,"Lots of ripe tropical fruit and peach flavors in this Chard, along with oak notes of buttered toast. You'll also find mouthwatering acidity and a creamy, leesy finish.",US
1490,US,"With a little oak giving the wine a toasty, buttery mouthfeel, this Chard is brisk in acidity. It has ripe, flashy tropical fruit, tangerine, apricot and pear flavors.",US
1491,US,"Here is your go-to, all-purpose Chardonnay. It's got the crisp, vivid fruit flavors of Washington state grapes, a tangy blend of lemon and lime, with bracing botanical highlights. It's super fresh and drinking beautifully, with a wide assortment of seafood, poultry and salad dishes.",France
1492,US,"Flowery and balanced in crisp, dry flavors of lemon and pear, this wine takes its designation from the French word for fog, a nod to its cool-climate environs. Supple tannins and refined acidity round out the deal.",US
1493,US,"Kathie Lee Gifford is just the latest celebrity to enter the winemaking game, but she made a solid partner in Scheid, one of the biggest vineyard owners in Monterey County. Their Gifft smells fresh and lively, with tangerine and sour grass aromas, followed by a sipping experience full of smoke, oak, lanolin and tan flavors, approaching leather and sandalwood.",US
1494,US,"A remarkable wine from the appellation's westernmost property, this shows lemon, honeydew, pomelo pith, tangerine skin and a touch of hazelnut on the nose. Lots of steely notes power the palate, with flavors of honeysuckle, pears and tangelo racing across the tongue. It's a perfect Chard for shellfish.",US
1495,US,"Ripe apples and pears meet with daffodils, honeysuckle and dried peaches on the nose of this wine from the Corralitos area. Flavors of lemon-lime soda, chamomile tea and pressed white flowers show on the floral and uplifting palate, which is warmed by a touch of popcorn.",US
1496,US,"A brand-new offering from this producer that usually traffics in Anderson Valley Pinot Noir from its own estate, this initial attempt at a white wine is stunning, a well-honed marriage between site and winemaker. Thick and expansive on the palate, it's a complex study in succulent apple and ginger, with a mineral-laden finish.",US
1497,US,"Salty and savory, this unfiltered wine conveys a lot of wet stone and petrol character. The dark golden color reveals its time in oak. Concentrated and full-bodied, with rich layers of baked apple and pear, it shows a complexity on the palate and a depth of lingering fruit and ginger on the finish.",US
1498,US,"One of the best values in high-end Oregon Chardonnay, this new release packs a wallop. ?Although just 15% of the French oak was new, the wine is loaded with toasty, buttery scents and flavors. Let it breathe and the ripe fruit flavors zoom into focus—candied citrus, apricot and a bit of lemon meringue pie.",US
1499,US,"The wine shows the fine acidity of the vintage, but also intense flavors of green apples, Asian pears and oranges. Oak brings luscious, balanced notes of vanilla and toast. A gorgeous, sumptuous wine that should drink well for the next six years.",US
1500,US,"Good fruit sources—Carabella, Hyland and Thistle—along with the craftsmanship of winemaker Robert Brittan, yield a lovely wine with mouth-tickling flavors of sweet-tart Meyer lemon, ripe orange, and candied pineapple. Lively acidity buoys the finish along with flavorful hints of caramel and cotton candy.",US
1501,US,"This beautiful wine could be from Chablis. It's so dry and flinty, with complex layers of lemons, limes, toast and honey, along with mouthwateringly brisk acidity. As delicious as the wine is now, you might want to cellar it for a few years.",US
1502,US,"Ripe and creamy, with flavors of pineapple candy, honey, brown sugar, buttered toast and cinnamon. It's just what millions of Chardonnay lovers want.",US
1503,US,"Aged in acacia and French oak barrels, this shows notes of lemon, smoke, and slightly burnt toast. It's creamy in feel but doesn't entirely come together.",US
1504,US,"This Chardonnay includes a small amount of Maria Gomes—an obscure white grape from Portugal—in the mix. The addition of Maria Gomes works magic. It fleshes out the palate, and it brings lush flavors of melon, banana, apple and lemon. This needs to breathe, but once it opens, it will thrill you until the last drop.",US
1505,US,"This is an oaky Chardonnay with buttered toast and butterscotch flavors that overlay rich apricot, tangerine and tropical fruits. The opulence is balanced with crisp acidity. It's all a bit forward and obvious, but in a good way.",US
1506,US,"There's a lot of appeal with notes of apricot, mango, butter and toasty spices. It's creamy in feel with the oak—70% American, half new—speckling the fruit flavors and the finish.",US
1507,US,"There's lots of rich Chardonnay character in this affordable wine. It's rich with vanilla, buttered toast, honey, orange and pineapple-jam flavors, with brisk acidity providing balance. Great price for a Chard this good.",US
1508,US,"The opulence of this Chard comes at least as much from the buttered toast and caramel notes of oak, as it does from the underlying pineapple and tropical fruit flavors. It's a crowd pleaser. Drink now.",US
1509,US,"Dark in color and offering opulent aromas of crème brûlée and marshmallow, this vineyard-designate is marked by its wealth of orange blossom aromas, an inviting, floral entry. While it exudes richness on the nose, it remains much more restrained and dry on the palate, finishing with leanness and length.",US
1510,US,"Barrel-fermented, this is dripping in honey and caramel surrounded by ripe golden apple and passionfruit. Accentuating the richness is a balance of acidity and texture, making for a beautifully complex wine.",France
1511,US,"From a variety of coastal vineyard locations, this wine, an inaugural offering from the producer, opens in zesty lemon and tangerine, before developing into a fuller-bodied, unctuous experience on the palate. It offers tamped-down acidity and briny back note on the finish.",US
1512,US,"Jammy in orange, apricot and pineapple fruits, this Chard has an overlay of oak that brings notes of sweet buttered toast and vanilla. It's a simple wine, but has fine acidity.",US
1513,US,"This coastal Chardonnay is ripe and forward in apricots, orange and mangoes, bright in acidity and strong in oaky flavors of buttered toast.",US
1514,US,"Chock full of fresh apple, zesty lemon and grapefruit flavors, this juicy, full-bodied Chardonnay shines with youthful, fruity energy. It's texturally rich with lingering notes of white peach and melon that seem to lend sweetness to the finish.",US
1515,US,"Dark gold in color, this decadent wine is robust in toasted chestnut and hazelnut layers which are rich and powerful on the seamless palate. The oak shows prominently on the nose and palate but finds its balance on the finish, allowing the wine to end with polish and reserve.",US
1516,US,"Baked apple and pear laced in caramel come to mind first, evoked from the aromatics of this wine. A richness of honey beckons, too. Golden in color and creamy in texture, it's balanced by streamlined acidity that keeps it elegant and refined, moving slowly toward a lengthy, drawn-out finish.",US
1517,US,"This wine is so compelling it's difficult to put the glass down. It smells buttery and lush and offers flavors of ripe pear, vanilla and a bit of caramel. It is full bodied and plush in texture; that rich viscosity carries the ripe but not over-the-top flavors to a lingering finish.",US
1518,US,"Much like its companion Chardonnay from the same vineyard, this offers tart yellow fruits, a splash of lime and a lick of toasted coconut. What separates the two is this wine's distinctive minerality underpinning the mouthfeel. The wine spent 11 months in 25% new oak.",US
1519,US,"This outstanding Chardonnay shows the brilliant structural purity of both the cold vintage and the terroir of the far Sonoma Coast. While the wine isn't in the same league as Flowers's spectacular Moon Select Chardonnay, it's not as expensive and still deeply satisfying. It's acid-driven with flavors of Meyer lemon, but balanced with notes of tropical fruit, butter and honey.",US
1520,US,"A good, if fairly standard wine, showing all the popular Chardonnay elements. It's dry, crisp and creamy, with fruit and buttered toast flavors.",US
1521,US,"It's easy to create ripe, oaky wines, but attaining true complexity is something else. This Chardonnay, which was made from fruit sourced from a highly regarded vineyard in the cool mid-southern part of the Russian River Valley, is elaborate, dry and rich in green apple, mango and orange flavors. The acidity is just about perfect, giving the palate a tart zinginess. Drink this with lobster and crab, and don't forget the buttered bread.",US
1522,US,"This young, stainless steel-fermented Chardonnay has a beery hoppiness to the aromas, leading into a tart, juicy and crisp palate of lime and grapefruit. The acids taste of wet stone, and that vivid minerality brings dimension and lift to the finish.",France
1523,US,"A bit tight and dainty on the nose, with reserved apple custard and white-flower aromas, this top-level bottling shows lots of nerve and verve once sipped. It offers salt, lime juice and honeysuckle on the palate, with lots of tension that lasts long after the bottle has been opened. It's a well-structured white.",US
1524,US,"Oaky on the nose, this is a lean, crisp wine on the palate, straightforward and balanced in its combination of green apple, pear and Meyer lemon characteristics. Medium bodied, it'll work wonders with midweek meals.",US
1525,US,"Oaky flavors of caramel, honey and butterscotch dominate. It's dry and crisp in acidity, with suggestions of limes and mangoes.",US
1526,US,"This Chard did not go through malolactic fermentation, allowing the acidity to stand up to what otherwise would be an overripe wine. It's strong in tropical fruits, peaches, brown sugar, vanilla bean and buttered toast flavors that are soft, direct and one-dimensional.",US
1527,US,"A moderately aromatic wine with notes of red apple, grape skins and lees. It's full bodied with a creamy feel but a bitter note throughout distracts.",US
1528,US,"A bright and sour combination strikes the nose on this wine, with aromas of lime sorbet, kumquat and salted green apple rinds. The lean, focused and racy palate is led by crushed limestone grip, with the slight warmth of tart crab apples, proving quite palate cleansing. It's perfect for halibut or other delicate fish.",US
1529,US,"The inaugural vintage from the owners of Atlas Vineyard Management in Napa, which also farms vineyards in Oregon and California's Central Coast, this is exquisite in candied popcorn aromas, with a seasoning of fennel. Soft and juicy, it remains fresh on the palate, finishing crisp and clean.",US
1530,US,"This is a very fine, distinctive Chardonnay that's tight and streamlined. It's tangy with lemony acidity and a brisk minerality, but there's also plenty of tropical fruit, apricot and honey flavors as well. Creamy notes of buttered toast and lees add richness to the palate.",US
1531,US,"The Dobles Lías has more lees contact than Marimar's other Chardonnays, giving it a rich, yeasty creaminess. There's also plenty of new French oak influence. Made from estate-grown fruit, it's rich with papayas, tangerines and guavas. It's delicious now, but has all the structure a Chardonnay needs to negotiate the next eight years.",US
1532,US,"This is a fine Chardonnay marked by rich, ripe pear, peach and tropical fruit flavors, but also a bright acidity that highlights all the fruit. Notes of buttered toast add richness. It's delicious on its own, but would also be an ideal accompaniment for tapas.",US
1533,US,"Not a bad price for a rich, creamy Chardonnay. It's sweet in brown sugar, orange and pineapple jam and vanilla flavors that appeal to the popular style.",US
