,description
3044,"A flamboyant Chardonnay. Shows flashy scents of vanilla and buttered toast from oak, riding high over pineapple, pear, golden mango and nectarine fruit. Crisp acidity provides needed balance to the richness. Good price for the quality."
3045,"A dry, streamlined wine, for those who don't like super-fruity, oaky ones. With a streak of minerals, it shows an elegant structure framing citrus, melon and peach flavors."
3046,"This wine is rich in tropical fruit, pear, green apple and lemon-lime flavors, but dry, with a touch of butterscotchy oak. Shows a deftly clean mouthfeel with fine, coastal acidity."
3047,"They put all the bells and whistles into this wine, from new oak to sur lie aging. It shows in the creamy depth, yet the wine has an herbaceous, green peppercorn edge. It wants to be fruitier and richer than it is."
3048,"Pretty good everyday Chard, with a lemon twist and datenut bread edge to the peaches and cream flavors. Finishes with a touch of honeyed sweetness."
3049,There's something sharp and vegetal to this wine despite a generous helping of sweet oak.
3050,Nothing going on in this deficient wine except alcohol. Not a trace of fruit.
3051,"Made mainly from vineyards in Green Valley, the wine was barrel fermented and underwent complete malolactic fermentation. The French oak barrels were 50% new. This level of intervention was appropriate to the underlying wine, which is massive in tropical fruit, pear, fig and melon flavors. The result is complex and lush."
3052,"Actually a Blanc de Blancs, since it's 100% Chardonnay, this is a wine of great purity, maybe because of the organic grapes. The bread dough, vanilla and subtle peach flavors have a very rich, creamy texture, without the jaggedness of ordinary bubblies. This is an important new addition to California's sparkling wine portfolio."
3053,"Ripe and oaky, with powerful tropical fruit, candied pear, peach, apricot jam and pineapple custard flavors. Nice acidity balances the earthiness and makes the finish clean and lively."
3054,"Against a background of dusty earth and herbs, there's bright peach, pear and pineapple flavors and a rich tangerine streak that meshes with the sweet new oak. It's all on the surface, but what a deliciously polished surface it is."
3055,"Shows brisk acidity for this warmish appellation, with upfront, pineapple custard, peach tart and apricot cobbler flavors wrapped in a honeyed mouthfeel. Just when you think it's a simple Chard, it reveals all kinds of layers."
3056,"Made from three different appellations, this Chardonnay's cool-climate origins show in the citrusy acidity and rich, tropical fruit flavors that suggest guava and mango. There's also some toasty oak in this tasty wine."
3057,"The only criticism I have is excessive new oak. In this case, it's 100%, and the sweet char, smoky vanilla and brûléed butterscotch flavors completely dominate. Good as Beringer's top Chards are, they're not Montrachet, and the wine simply cannot shoulder that burden of wood. Having said that, it's still an elegant wine, and oak devotees will love it."
3058,"Dry on the finish, but lush in smoky oak and pineapple meringue and custard flavors, this is a rich, flamboyant Chardonnay to drink now."
3059,"Lemony, light-bodied, bone dry and acidically crisp, its citrus and mineral flavors are easy and elegant, and will play well against shrimp scampi."
3060,"This isn't the most sophisticated wine out there, but at this price, it's not bad. Semidry and smooth in texture, it has modest peach and smoky oak flavors that will satisfy Chard fans."
3061,"There's an ashy, burnt aspect of this wine that's probably from overly toasted wood, and it dominates the aroma and taste. It's not a bad wine, and has no technical defects, but it's like drinking toothpicks."
3062,"Not much going on fruit-wise in this lean, but clean, brisk wine. Oak stars, with charry caramel and vanilla overpowering the modest peach and apricot flavors."
3063,"A controversial wine with our panel. Some loved it for its idiosyncratic aromas and thick, unctuous mouthfeel, while others penalized it for the same characteristics. One reviewer's complex, hard-to-describe aroma was canceled out by another's earthy, mulchy scents. There is a solid core of peach and pineapple fruit, so on balance, our rating is positive."
3064,"Chardonnay rarely rises above the mundane, but when it does, you wonder why doesn't everyone make it like this? Big and voluptuous, this gorgeous bottling retains enough acid and balance to deliver the big-time goods with finesse. Silky, ripe, lush yet sculpted, it plays out deliciously through an extremely long and richly fruity palate."
3065,"Immediately likeable for its direct, ripe flavors of candied peaches, kiwis, limes and pineapples. It has just the right acidity and a creamy texture."
3066,"This wine in a box is made using a faucet technology just like your sink, which feels weird, but it's easy to use and keeps the wine sound. The wine itself is serviceable, with sweet, candied flavors of pineapple and lemon Lifesavers."
3067,"This is a tightly wound Chardonnay, crisp and steely. It's also oaky. The underlying flavors are of citrus and tropical fruits, buttered toast and vanilla, with a touch of metallic stone. Calls to mind the 2006. Give it a breath of air before serving to soften it, and don't drink it too cold."
3068,"If there's any oak on this wine, it doesn't show. Instead, it brims with ripe, pure flavors of pineapples, kiwi fruit, limes and cinnamon spice. Crisp and bright."
3069,"With too much oak and too sweet fruit, the result is an unbalanced Chardonnay. It tastes like LifeSaver lemon candies cooked into a baked Alaska dessert."
3070,"A sweet edge of sugar lines the fruit on this Chard, making the tangerine, peach, pineapple and oak flavors taste more like a dessert wine than of a dry table wine. In its favor, the wine is crisp and clean."
3071,"Not a real success for this often good bottling, spoiled by a taste of burnt wood. The oak doesn't taste quite natural; like something synthetic, almost medicinal."
3072,"A well-behaved Chard with a streak of minerality that uplifts the apple and peach flavors, as well as lees and oak. Finishes a bit rough and earthy, with tobacco leaf acidity."
3073,"I tasted this alongside a Chard costing more than twice as much, and it held its own. The fruit, acids, oak, spice and creamy texture come together in an appealingly balanced package. Finishes dry, long and complex, but just a tad thin."
3074,"You want pure Monterey Chardonnay? Go here. It's all about peaches, apricots, pineapples, limes and kiwis, not to mention fresh crisp acidity. Where all that cream came from is a mystery, given that the wine is unoaked. Good wine, good price."
3075,"Napa Cabs can suffer from a soft earthiness, but El Molino has succeeded in producing a wine of real substance and style. It shows fine pear, apple and nut bread flavors, along with a figgy, raisiny quality, and has good enough acidity for balance. The finish is very dry. This complex wine should age well over the next five years."
3076,"Wonderfully leesy and complex, the second vintage of the top-of-the-line Ethos Chardonnay has intriguing streaks of orange peel and citrus zest, along with buttered nuts, toast and hazelnut flavors. All the different elements are threaded through the palate and continue into the long, silky finish. The only off notes, perhaps due to the youth of the wine, are some high-toned volatile scents and a bit of alcoholic heat in the back of the palate."
3077,"I love this Chard for its bright, brisk acidity that fires up the palate, only to reward it with ripe, delicious flavors of Key lime pie, kiwi and pineapple. Oak adds notes of buttered toast and vanilla. The result is rich, refined and complex, a Chardonnay to linger over. Easy to find, with 17,000 cases produced."
3078,"The combination of brisk acidity and perfectly ripened kiwi, tangerine and papaya fruit makes for one beautiful Chardonnay. Oak adds smoky, vanilla and buttered toast notes. The result is a captivating wine, rich and elegantly tailored."
3079,"All of this is barrel-fermented, 45% in new French oak, and it shows in the toasty, nutty scents. Buttery and creamy on the palate, with a plump mouthfeel and layered flavors of ripe pears and dried spices. Long and pineapple-y on the finish."
3080,"This cool Central Coast wine has tropical fruit and lemondrop  flavors as well as zesty acidity. Veteran winemaker Chuck Ortman has added a substantial amount of toasted oak. The result is a clean, flavorful wine."
3081,"The honeyed richness just oozes out from this dry wine. You can almost picture the freshly crushed grapes in their steel fermenters, it's that fresh and keen in pineapple, tangerine, kiwi, guava and other spicy, acid-rich tropical fruits. Absolutely luscious, a complex, fruit-driven wine of great sophistication and elegance."
3082,"Great price for a Chardonnay of this quality. The grapes come from cool coastal areas, and the wine brims with crisp, long hangtime ripeness, accented with toasty oak. Feels rich and creamy, with pineapple, tropical fruit and vanilla flavors."
3083,"Crisp in acidity, with ripe flavors of pineapple jam, apricots and sweet spicy oak."
3084,"Made in the softly ripe, oaky style, this Chard shows flavors of pineapple cream, lemon zest, vanilla custard and cinnamon spice. It's a crowd pleaser."
3085,"Massive, complex, with amazing depth, an opulent, voluptuous wine of tremendous power and authority. It's so beautiful now, you almost hesitate to cellar it, but these Hanzell Chards are built for the long haul. Positively volcanic in tropical fruit and toasty new oak, with a honeyed, caramel finish. Absolutely stunning."
3086,"This is a dramatically structured Chardonnay, a finely balanced wine from Alexander Valley, which produces lush, exotic Chards. The warmth of the vintage has softened the acidity, and while it's not an ager, it's enormously complex. Papaya, mango, crystalized ginger candy and cinnamon spice flavors are long and deep, while extensive new oak adds luscious butterscotch and caramel notes."
3087,"Spectacularly ripe, showing an explosion of near-perfect fruit and smoky oak, balanced by crisply elegant acidity. Among the top ranks of Carneros Chards, the wine comes from manicured, low-yielding vines that, in this warm vintage, offer pineapple custard, lemon meringue, kiwi, crème brûlée and vanilla spice flavors. There's something keenly firm and stony in the finish."
3088,"Silhouette typically is held back a little longer than most Chards, which seems to soften it slightly. Still, the '03 is as fresh and pure in fruit as a young wine. It brims with ripe green apple butter, pineapple custard, butterscotch and spicy rum flavors that are well-oaked, and has none of the herbaceousness that often marks Napa Valley Chardonnay. Drink now–2009."
3089,"Tasted alongside Ramey's Hudson bottling, this one's distinctly different, a softer, creamier, fleshier wine, but no less compelling. From the Napa side of the appellation, the wine is fat and oily in peach custard, butter-and-Cognac-sautéed pineapple and vanilla bean flavors, and while the charred oak is notable, it's fully in keeping with the wine's power."
3090,"I like this smooth, dry wine, although it's rather overworked. The oak and lees are a bit obvious, yet the papaya and peach fruit flavors, and the acidity, are powerful enough to make it all work."
3091,"Compared to the winery's Starr Ridge Chard from the same vintage, this is unassertive. It's thicker in the mouth, and softer, with a malted, custard texture framing peach flavors."
3092,"This isn't one of your tropical fruit and oak, acidic cool-climate monster Chards. It's soft and earthy, with a dried sage and oregano edge to the green apple and white peach flavors."
3093,"Nice peach and apple pie flavors, along with fresher honeydew define this friendly, soft, somewhat earthy wine. A bit of lees and oak and complexity."
3094,"There's a lot going on in this complex Chardonnay. The balance strikes you first, with crisp, zesty acidity cleansing the palate and preparing it for the onslaught of flavor. Then a tsunami of grilled pineapples, Meyer lemon pie filling, crème brûlée, butterscotch and vanilla hits. So devastatingly good, you can't keep your hands off it."
3095,"An exceptional value, this is buttery and round, loaded with peaches and creamy vanilla flavors. Solidly mainstream and quite delicious in a full-on, barrel-fermented, 100% malolactic style."
3096,"Very, very sweet in residual sugar, with powerful flavors of apricots, honey, oranges and vanilla. A bit soft, but the luscious sweetness is what makes it work."
3097,"This pleasant wine shows all the usual Chardonnay features of well-ripened tropical fruit and peach flavors, toasty oak, and a creamy, buttery mouthfeel. It's clean and brisk, with a long, fruity finish."
3098,"You'll find some tasty apricots, peach and vanilla-oak flavors in this soft, creamy wine. It's a nice California Chardonnay, slightly sweet in the finish, and a great accompaniment to salmon or pork."
3099,"This wine shows those crisp, bright, mouthwatering Central Coast acids. They perk up the lime and tropical fruit flavors enhanced with a touch of vanilla and smoke from barrels. Finishes spicy and dry."
3100,"There's a lot of Chard character here, in the flavors of peaches, pears, Asian spices, buttery toast and cream. A large proportion of the grapes came from Monterey, which also helps explain the crispness."
3101,". If you're familiar with the lush, complex Chards from Robert Young, this will ring a bell. It's layered in ripe mango, guava, nectarine, peach and smoky, caramelized oak flavors, with an exotic taste of butter-sautéed bananas. All that flavor is nicely balanced by rich, lemony acidity."
3102,"Lime-peel acidity marks this bone-dry, tart wine. The other flavors include steely minerals, pineapple crème brûlée and buttered toast. Drink now."
3103,"Completely barrel-fermented, and it shows in the wine's lavish oak, ample weight and rich, oily texture. It's nutty and leesy, and much less overtly fruity than the winery's Russian River bottling, instead focusing more on weight and texture."
3104,"A round and pleasant wine with melon, toast and pear aromas and flavors, but a bit on the sweet side. Bright citrus and peach notes add interest, a touch of chalk keeps the sweetness in check, and the oak comes up dramatically on the back end."
3105,"Clean, minerally and streamlined, with citrus zest, lees, oak flavors and a very dry finish. This will go well with shellfish. It's made in Mondavi's restrained, elegant style."
3106,"Rich in apricot, peach and pineapple flavors that finish a little sweet and oaky. This is the kind of inexpensive Chardonnay that California so effortlessly produces, all to the benefit of consumers."
3107,"Clean, dry and tart in acids, this is a minerally Chard with citrus and kiwi flavors. It has some oak that adds richness, but it's not really a rich wine. It's more of a streamlined, sleek sipper."
3108,"Nice and crisp in acidity, with ripe peach, apple and pineapple flavors. There's a bite of green sharpness on the finish, but it's still a good Chard."
3109,"Another unoaked Chard hits the market, and with good results at a good price. Nothing but juicy peach, pear and pineapple flavors and crisp acidity. Oak probably would have brought it down."
3110,"Grown in the warmest part of the appellation, this Chard is soft and without the acidity you find closer to the ocean. But it's a very tasty wine brimming with tropical fruit, honeysuckle, buttered toast and vanilla flavors."
3111,"Here's a nice everyday sort of Chard, forward in bright lime, kiwi and nectarine flavors. Tastes like it comes from a far cooler climate than Paso Robles. A bit more concentration would send the score through the roof."
3112,"Flamboyant tropical fruit flavors star in this polished, likeable wine. Pineapples, mangos, melons, peaches and spicy pears, with a dollop of vanilla and buttered toast, all in a creamy texture."
3113,"Joins very ripe, tropical fruits (like guavas and papayas) to vanilla-tinged, smoky oak to produce a likeable, flavorful Chard. Has a rich, almost thick, creamy texture that finishes with a swirl of spices."
3114,"Very dry and acidic, this elegant Chard has a tangy minerality that undergirds the lime, kiwi and mango flavors. It's a bone-dry wine, perfect for roasted salmon, chicken or pork with a tropical fruit, green onion and cilantro salsa topping."
3115,"Christophe Paubert brings a distinctly French palate to these grapes, and he knows how to bring out the elegance that is too often buried in buttery oak. Here the fruit stands out, crisply defined, clean and extremely fresh. Only 20% was put through malo, and fully 85% was fermented in stainless steel. This is a fine effort, and a terrific value."
3116,"Toastier and more buttery than the 2005, with a touch of warmth to its flavors. Grilled nuts accent melon and ripe peach flavors, showing a greater degree of ripeness than the more refined 2005. Finishes with notes of toasted oak and coffee."
3117,"Strongly minerally, with a cold metal, chalky tang to the buttery, tropical fruit flavors. With a crisp dose of acidity, this is a dry, elegant Chardonnay that will hold well for five years."
3118,"Over the years Mondavi's Reserve has taken a turn toward Chablis. Fans of lush, superripe Chards will find it tart, but it's really balanced and elegant. With a dry tang of minerals, it shows bright Meyer lemon, lime, pineapple and white peach flavors. One-third new oak adds creamy, smoky vanilla complexities. Should develop over the next six years."
3119,"All Milbrandt fruit has created a sappy, buttery and bright Washington Chardonnay. It bursts upon the palate with a beautiful mix of tropical fruits and caramel. Flavors are rich, persistent and lush. You want more long after the bottle has been drained."
3120,"Crisp and direct, showing bright, flamboyant pineapples, kiwis, figs, Meyer lemons and vanilla."
3121,"This Paso Robles-based winery has reached into cool-climate Edna Valley for their Chardonnay, with good results. The wine has good acidity and is dry and minerally, with citrus fruit flavors. Try with cracked crab and a well-buttered sourdough baguette."
3122,"Big, oaky and extremely bright, with refreshing acids and crisply defined fruit. As is usually the case with this spectacular vineyard, the flavors carry extra intensity; they seem to drill down into the heart of the palate. Though released young, this is a wine that could certainly benefit from another 6–12 months in the bottle."
3123,"Another interesting Chard from this Santa Lucia Highlands estate; why the Wagners don't put that appellation on the label is a mystery. The wine seems even higher in acidity than usual, with greater ageworthiness, and experience shows this is one for the cellar. The tropical fruit flavors are well oaked, and finish absolutely dry. Best after 2008."
3124,"This shows the ripe tropical fruit of a fine vintage, yet maintains the keen citrusy acidity that makes this vineyard's Chards so balanced and ageworthy. Beneath the pineapple marmalade, apricot and caramelly oak flavors is a rich, flinty minerality that cries out for lobster."
3125,"Here's a seriously good Chardonnay that fruit lovers will covet, but it's also enormously oaky. I like all that new French wood because the caramelly, smoky vanilla and buttered toast, which is boosted by total malolactic fermentation, works so well with the mangoes, papayas and pineapples. But I know people who would call this Chard toothpicky."
3126,"This Hommage upholds the tradition for its ripe fruit and firm, dry structure. Tropical fruits, nectarines, apricots, peaches and toasty oak lead to a long, spicy, complex finish."
3127,"Gainey's Limited Selection Chard has been a remarkably consistent wine, hanging onto its minerally rich Santa Rita character through vintage variations. The '04 retains the wine's sleek elegance, rich without being heavy, offering a wealth of tropical fruit, limestone and new oak flavors."
3128,"Partially barrel-fermented, this Chard is a blend of Bien Nacido and Solomon Hills. It's a heavyweight, so full-bodied, in fact, that it's one of the rare California Chardonnays that will benefit from bottle age. It has a candied, English dessert trifle flavor of apricots, peaches, citrons and green apples, baked into a custardy pudding, and the caramelized taste of charred oak. You'll even find a dusting of tannins. Best after 2007, and for another five to seven years."
3129,The understated pear and pineapple flavors of this medium- weight Chardonnay have pleasant spice accents. It finishes stylishly with slightly tart pineapple and citrus notes.
3130,"This wine's deep gold color is in line with its ripe-apple and butterscotch flavors. There's plenty of oak, and a round mouthfeel. Sophisticated palates may find this package just too obvious, but tangy oak over overtly sweet fruit is a bulls-eye if you're not seeking nuance."
3131,"Despite its relative youth, this Virgina-made sparkler is pungently toasty on the nose, then moves into green apple and lime flavors. It does show its dosage a little, but finishes with decent flourishes of smoke, toast and citrus."
3132,"Shows richness in the ripe peach, pear and apple flavors, although the wine, from Yountville and Oak Knoll, is a little soft and earthy compared to cool-climate Chards. Dry and clean."
3133,"Dry, bright in acids, and fruity, with kiwi and lime flavors that finish with a spicy flourish. This is a nicely elegant Chard that won't break the bank."
3134,"As tart in acids and zingy as cool-climate Chard comes, with bright, mouth-stimulating lime and kiwi flavors that finish dry and clean. There's a tiny bit of oak, but the fruit really stars in this tasty, affordable wine."
3135,"A lush Chardonnay marked by the integrated balance of all its parts, resulting in great harmony. It's very ripe in tropical fruits and quite oaky and leesy, but like the powerful gymnasts at Cirque du Soleil, all the performers work together as a troupe. Drink with rich, fancy fare, like lobster or scallops."
3136,"Strong in every sense, with ripe pineapple, lemon and peach flavors and strong oak. Lacks subtlety, but it's crisp in acidity and shows a nice streak of minerals. Ready now."
3137,"From the old vine planting, this is a thick, chunky, fruity style, with banana and light tropical fruit flavors. Firm acidity and grip give it a substantial mouthfeel."
3138,"This is a big, rich, showy Chardonnay. Barrel fermented and aged in 80% new French oak, it shows buttered toast and charry vanilla bean aromas and flavors. The fruit below is good, if a little heavy and ripe, suggesting apricots and pears. Best now in its youth."
3139,"Here's a good, rich and super-drinkable Chardonnay. It shows oak-inspired flavors of pineapples, peaches and green apples that taste like they were baked into a pie. Finishes clean and zesty in acidity."
3140,"Very rich, creamy and oaky, made in the ripe, California style of Chardonnay. Brims with buttered toast, vanilla cream, and caramelized wood aromas and flavors riding over underlying pineapples, pears and limes. Flamboyant, if a little top-heavy. Ready now."
3141,"This is a thoroughly modern style: 100% French oak, Dijon Clone 75, plenty of lees contact. The yeasty nose introduces a very rich, mouthcoating sensation of butterscotch. Those leesy, creamy, butterscotch flavors surround the palate; the green apple fruit carries a bit of crisp authority and keeps the structure firm. Long, smooth and very sensual without being too tiring."
3142,"The source of dependably rich Chards, Rosella's has given Bernardus the opportunity to craft a wonderfully complex wine. It's ripe in flavors ranging from lime tart and kiwi to papaya, nectarine and Anjou pear. Delicious, although it would benefit from higher acidity."
3143,"Yet another outstanding effort from Rulo, this  appealing Chardonnay marries pretty peach flavors to a mix of spices from 100% French oak barrel fermentation. Cinnamon and other Asian spices, along with barrel toast, provide a nice counterpoint to the ripe fruit."
3144,"Quite different from Spelletich's Spotted Owl release, this wine has spiced green-apple aromas. While it's as rich in flavor as the other offering, the acidity is lower, so the wine seems softer and creamier."
3145,"Cream and honey aromas highlight this juicy, fleshy wine. With its buttery texture and slightly sweet fruit flavors, it's about pleasure, not complexity, and it finishes long and spicy."
3146,"Subtle citrus and peach aromas mark this pretty wine, with light oak shadings. It's round and supple, with some nicely extracted citrus fruit and crisp acidity. It's light and elegant, but no blockbuster."
3147,"This Sonoma County Chardonnay is a mainstream success, with ripe, peachy fruit, leesy notes and not that much oak. It finishes dry, clean and crisp, with a slight bitter-almond note."
3148,"Nice and rich in toasty oak, framing mouthfilling flavors of pineapples, papaya, peach and cinnamon spice. Feels creamy-smooth, with a good tang of acidity."
3149,"Crisp and dry, a minerally wine with earthy, citrus flavors and a firm structure. For a little richness, there's a streak of peach on the finish."
3150,"This new vintage of Novelty Hill's estate Chardonnay shows more acid and spice than the slightly richer, creamier 2005, but offers the same superb winemaking. The fruit is a perfect mix of apple, pear, passion fruit and green banana, laced with cinnamon and sweet baking spices. This is that all-too-rare, affordably-priced domestic Chardonnay. It does not require food to “fill in” what's missing—nothing is missing!"
3151,"A very tasty, fruity, slightly sweet style It's front-loaded and fruit-loaded, but good value and good taste."
3152,"A very nice cocktail wine for its dryness and crispness. Although it's Chardonnay, it's not a big, rich wine, but a sleek, bone-dry one, with citrus and mineral flavors and strong acidity. A dash of Viognier adds an exotic, flowery note."
3153,"Pretty oaky, with vanilla, buttered toast and charred wood aromas and tastes dominating. Under that are grilled pineapples and peaches, balanced with fine, tart acids. A little off around the edges, but a promising Chardonnay grown in this coastal L.A. climate."
3154,"Vanilla, ripe pear and dry citrus aromas and flavors highlight this featherbed of a wine. The palate's soft, almost sappy feel, round melon fruit and mild spices are easy to like. It's not cloying or tacky, just don't look for spine or structure."
3155,Lime and other citrus fruits predominate in this lean and tangy wine that's a refreshing relief to the multitude of oversugared and overoaked wines in this category. There's a faint spritz on the palate and the citrus profile makes up for slightly low acidity. Finishes mild and even.
3156,"The pineapple and Golden Delicious aromas are right on target, and are followed by apple and mildly oaky flavors. An easy texture and smooth finish with mild spice notes close this crowdpleaser."
3157,"This wine has a flinty, minerally personality, with a full  overlay of toasty oak. Don't look for fat, blockbuster fruit here—the flavors tend toward lime and tangerine. The oak adds caramel, vanilla and smoky notes. It's supple in the mouth but closes strangely flat."
3158,"Direct, with smoky oak-infused flavors of ultra-ripe pineapples, oranges, pears and honeysuckle. Very bright acidity makes it mouthwatering."
3159,"Missing the lushness of the Goodchild Chard, but still a clean, tasty wine showing pineapple and toasty oak flavors. Easy to savor with its zesty acidity."
3160,"Okay everyday Chard, with toned-down peach, pear and oak flavors and a creaminess to the texture. Finishes dry, crisp and short."
3161,"Clean and tasty, this crisp, dry Chard has modest peach, apple and tropical fruit flavors. It's a nice country wine at a fair price."
3162,"The vineyard is in inland Hopland, and the wine has that warm-climate fruitiness. It shows tremendous peach, apricot, pineapple and pear flavors, with a slightly rustic, sweet finish."
3163,"Ripe and juicy in mango, pineapple and pear flavors, with a generous dollop of toasty oak and a vanilla cream texture. Finishes a bit sharp in acidity, but refreshing and tasty."
3164,"Tight and lemony, with firm acids that make the tastebuds whistle. This is a dry Chard well suited to crab dishes."
3165,"The wine is still showing a lot of rich new oak flavors: toast, coconut and vanilla crème. Sur lie aging (in 100% French oak) adds plenty of texture and the impression of minerality. Behind the oak is a lush mix of fruits, from tangerine and pineapple through papaya and ripe banana."
3166,"Easily the best Chard from Stevenot I've tasted, for the quality of the structure. The wine is very dry and crisp, with mineral, lime, pink grapefruit and dried herb flavors. A great food wine."
3167,"Apple and pear, cracker and citrus, pineapple and a hint of residual sugar combine in a soundly made, all-purpose Chardonnay. The alcohol is just under 13%, and the wine was not put through malolactic fermentation, leaving it crisp and fresh."
3168,This lemony wine boasts modest citrus aromas and flavors coupled with sharp acidity. It has some pretty oak and spice notes.
3169,"Opens with aromas of peaches, butter cream, vanilla and caramel, then turns fruity and rich in the mouth. It's a bit awkward, as there's a blast of herbs or veggies in the middle palate that doesn't seem to belong."
3170,"Very ripe, forward fruit characterizes this slightly heavy, somewhat dense wine. It has a kiss of oak and a little sweetness, with good, crisp acidity."
3171,"Smells citrusy and oaky, with a distinct melon note. This is a simple, somewhat rough wine that expresses the most basic Chardonnay characteristics, but offers little beyond affordability."
3172,"Begins with aromas of peaches and citrus fruits and a vegetal, herbaceous note. Fruity and rough, with good acidity."
3173,"A good everyday Chardonnay that shows crisp acidity and the ultra-dryness and cleanliness of a well-made Central Coast Chard. Made for drinking now, with lime, white peach and mineral flavors."
3174,"This is a regional wine, but don't dismiss it because it doesn't have a vineyard designation. It shows the vibrant acidity of the Highlands, and the long, cool vintage has given exceptionally ripe flavors of pineapples, guavas and passionfruit. Your guests will love it."
3175,"Nice price, clean wine, and probably unoaked. However, the fruit is kind of thin and watery."
3176,"Soft and simple, with candied peach and pear flavors and some oaky, leesy influence that makes it a little fancier."
3177,"Very oaky, with a blast of char and caramel. Under that is light fruit suggesting pineapples and pears, in a creamy texture."
3178,"Clean, dry and oaky, with modest flavors of peaches and pears, and a good finish. A good value."
3179,"Simple and earthy, with peach, pear and sweet oak flavors, and a slightly rough mouthfeel. Finishes with an awkward sweetness."
3180,"Has real Monterey character in the ripe tropical fruits and zesty acidity, only the flavors are a bit thin. If you can find this wine for a few bucks less, it's a real value."
3181,"Another wine done in a fresh, spicy, bright style. Apple and light cinnamon, crisp and clean, make a wine perfect for summer sipping."
3182,"Made in the modern, ripe California stlyle, this Chardonnay offers immediately appealing flavors of pineapple jam, peach, lime, kiwi and vanilla oak. It's balanced with crisp acidity. Ready now for sheer richness."
3183,"With 9% residual sugar, this Chardonnay is distinctly sweet. It's also very Chard-like, with pear, peach and buttercream flavors. It's a bit simple, but very tasty."
3184,"A very nice, super-drinkable Chardonnay marked by brisk, cool-climate acidity and a bracing minerality. The pineapple, peach and apple flavors have the slight herbality you often find in Napa Chardonnay."
3185,"This is sensuous Chardonnay that provides plenty of texture and depth without being heavy. The bouquet is robust and complex, with pear, smoke, vanilla, cumin and an appealing oatmeal-graham cracker-like note. A full spectrum of similarly ripe fruit flavors coats the mouth, bolstered by good acidity, and you can almost sink your teeth into the full, chewy mouthfeel. This very impressive bottling finishes long and complex, with grainy pear, spice and buttery notes. Editors' Choice."
3186,"An intensely fragrant floral, ginger, peach, lemon-lime and orange-spice bouquet ushers in this smooth, well-structured wine. The palate shows intricately meshed orange, butterscotch and toasted nut flavors, offset by angular, racy mineral accents. Finishes long and crisp, with refined pineapple, citrus and stony flavors. Enjoyable now but still tight, this should offer even more in two years."
3187,"This Napa stalwart is beautifully integrated. Leesy and citrus notes accent the solid apple and toast profile on both the nose and in the mouth. It's big, but displays impeccable balance and a great mouthfeel. Lime and spice play against richer butterscotch, vanilla and toasty elements on the long, handsomely textured finish."
3188,"There's plenty of ripe fruit in this 1998. An intense nose of coconut, jasmine, sweet pineapple, toasted marshmallow and cloves opens this lush beauty. A lovely, positive tension prevails in the mouth between tropical fruit flavors, pear, apple and citrus elements, all accented by intriguing spice notes. Finishes long, again relying on a fine tension between sweet and tart notes to create a harmonious and sensuous close."
3189,"Taut and intensely structured, the compact smoke, lime, ginger and nut bouquet here hints at what's within. The mouth offers lime and chalk, vanilla and apples and a creamy yet firm mouthfeel—it's surprisingly full, with bright acidity. The dry, crisp finish with its spicy, toasty flavors has great length, again showing structure and refinement. Will be at its best in two-plus years. Cellar Selection."
3190,"The flagship of the Peter Michael Chardonnays is a stylish, sexy wine. Opens with a wonderful nose of peach, tropical fruit, nuts and orange tea; it shows great poise and a classic sense of proportion from bouquet to finish. The wine unfolds and expands in the glass, offering lovely orange, mineral and tarragon flavors. The engaging finish has great length and subtle aromas and flavors. Impressive for its restraint and attention to detail, this is delicious now but will also reward keeping. Cellar Selection."
3191,"One of seven wines we tasted from this renowned vineyard, and one of six from veteran Chard-meister Jed Steele. This one's a beauty—the top scoring wine from both the winemaker and the site. A floral, orange, vanilla custard and almost mustardy-spice nose opens to a full orange, mineral and vanilla-spice palate. It's rich and creamy yet spicy, and even shows some bright lemony elements. This multidimensional wine finishes long with tangy, toasty oak. Top Value."
3192,"This is everything a flagship wine should be, with its rich mouthfeel, palate-coating flavors and long finish. The flavors are on the apple side of the Chardonnay spectrum, with toasty oak galore, but would you expect otherwise? The long finish has lots of finesse and style despite its considerable heft."
3193,"This is a seductive pleasure-bomb, with a ripe core of tropical, citrus and banana fruit flavors wrapped in a toasty-oak and butterscotch cocoon. Lush and creamy, it hits all the right notes; as it pushes the ripeness and vanilla envelopes to the max, it does so with great style and balance. The long, toasty, crème brûlée finish has great appeal. Top Value."
3194,"Ripe orange and papaya, spice, graham cracker and smoke are a few of the adjectives tasters used to describe the nose of this delightful wine. Though rich and open on the palate, it never gets loose or sloppy. A great chalk element and spice accents nicely offset the rich fruit foundation. Buttered toast and nutty, leesy notes mingle with pineapple on the long, finely balanced back end."
3195,"Full and focused, the nose of orange, crème brûlée and vanilla opens to a handsomely balanced palate of lively citrus, Granny Smith apple and vanilla cream flavors. Moderately plump and pleasing, good underlying acidity here keeps it elegant and maintains fine flavor definition. Butterscotch, lemon and spicy oak flavors mingle on the long finish.Top Value."
3196,"One of the oldest wines submitted, a deliciously complex créme brûlèe, coconut, nutmeg, vanilla and smoke bouquet opens this classy contender. Full and creamy on the palate, it offers rich, finely nuanced pear and nectarine fruit flavors accented by clove, nutmeg and coconut. Still feels young, finishing long and bold with intriguing spice and tangy pineapple notes."
